Year,Skate (M),Skate (F),Mini Ramp,BMX Park (M),BMX Park (F),BMX Street,BMX Flatland,MTB Downtown (M),MTB Downtown (F),FMB Dirt Jump,Break Dance,Basket 3x3,FMX,
2001,Pay Álvarez (ESP),,,,,,,,,,,,
2002,Adrian Otero (ESP),,,,,,,,,,,,
2003,Raphael Brunis (FRA),,,,,,,,,,,,
2004,Marcos Chami (ARG),,,,,,,,,,,,
2005,David Lougedo (ESP),,,,,,,,,,,,
2006,Orlando Acosta (ESP),,,,,,,,,,,,
2007,Milton Martínez (ARG),,,Gabruel Mastragostino (ARG),,,Viki Gómez (ESP),,,,Gaiolin Roots (POR),,
2008,Milton Martínez (ARG),,,Sergio Layos (ESP),,,Viki Gómez (ESP),,,,Iron Skulls (ESP),,
2009,Roger Silva (BRA),,,Daniel Peñafiel (ESP),,,,,,,Lunatiks (ESP),,
2010,Milton Martínez (ARG),,,Sergio Layos (ESP),,,Matthias Dandois (FRA),Paulo Domingues (POR),Rosi Martínez (ESP),,Fusion Rockers (ESP),,
2011,Cristian Estrada (COL),,,Daniel Peñafiel (ESP),,,Matthias Dandois (FRA),Aaron Caballero (ESP),Eva Castro (ESP),Andreu Llacondeguy (ESP),Barna Squad (ESP),,
2012,Jorge Simoes (POR),,,Daniel Peñafiel (ESP),,,Matthias Dandois (FRA),José Borges (POR),Rosi Martínez (ESP),Xavier Pasamonte (ESP),Fusion Rockers (ESP),,
2013,Danny Leon (ESP),Eugenia Ginepro (ARG),,Daniel Dhers (VEN),,,Matthias Dandois (FRA),José Borges (POR),Rosi Martínez (ESP),Nicholi Rogatkin (USA),Fusion Rockers (ESP),,
2014,Kelvin Hoefler (BRA),Pamela Rosa (BRA),,Jonathan Camacho (COL),,,Viki Gómez (ESP),José Borges (POR),Rosi Martínez (ESP),Nicholi Rogatkin (USA),Fusion Rockers (ESP),,
2015,Aurelien Giraud (FRA),Leticia Bufoni (BRA),,Daniel Dhers (VEN),,,Matthias Dandois (FRA),Aaron Caballero (ESP),Rosi Martínez (ESP),Nicholi Rogatkin (USA),Momentum Crew (POR),,
2016,Danny Leon (ESP),Julia Brueckler (AUT),Danny Leon (ESP),Konstantin Andreev (RUS),Katty Diaz (VEN),,Alex Jumelin (FRA),José Borges (POR),Rosi Martínez (ESP),Paul Couderc (FRA),Malaganzters (ESP),,
2017,Aurelien Giraud (FRA),Candy Jacobs (HOL),Aurelien Giraud (FRA),Jonathan Camacho (COL),Camila Harambour (CHI),Broc Raiford (USA),Viki Gómez (ESP),Edgar Carballo (ESP),Eva Castro (ESP),Nicholi Rogatkin (USA),Fusion Rockers (ESP),,
2018,Gustavo Ribeiro (POR),Candy Jacobs (HOL),Jake Ilardi (USA),Daniel Dhers (VEN),Teresa Fernández (ESP),Courage Adams (ESP),Viki Gómez (ESP),Marco Veiga (ESP),Eva Castro (ESP),Lukas Huppert (SUI),Zoo Evolution Kings (POR),Basket Gijón (ESP),
2019,Ivan Monteiro (BRA),Keet Oldenbeuving (HOL),Danny Leon (ESP),Sergio Layos (ESP),Lara Lessmann (GER),Courage Adams (ESP),Alberto Moya (ESP),Edgar Carballo (ESP),Eva Castro (ESP),Tom Isted (UK),XVII Generation (ESP),Titans (ESP),
